,site_id,site_name,easting,northing,min_year,max_year,region,HA_NUM,G_ID,S_ID,rbd_id,wb_id,mncat_id,opcat_id,organisation,lon,lat,material,determinands,geometry,Cd_mean
10,NE-SSN1629,SSN1629 WESTWOOD BURN,420345,604099,2025,2025,NE,22,HA022G03,HA022G03S0048,3.0,GB103022076693,3067.0,3105.0,EA,-1.680882,55.330532,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN1629', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_22_106.geojson', 'mean_measurements': 0.01}]",POINT (-1.680882 55.330532),0.01
11,NE-43200440,WEST ALLEN AT BLACKETT BRIDGE,378008,554061,2025,2025,NE,23,HA023G01,HA023G01S0061,3.0,GB103023074700,3103.0,3005.0,EA,-2.344304,54.880823,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-43200440', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 4, 'num_measurements': 4, 'file': 'riv_sites_det_23_106.geojson', 'mean_measurements': 1.775}]",POINT (-2.344304 54.880823),1.8
12,NE-RSN1339,RSN1339 KNAG BURN - GRINDON LOUGH,380389,567877,2025,2025,NE,23,HA023G01,HA023G01S0116,3.0,GB103023075540,3103.0,3417.0,EA,-2.308145,55.005073,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-RSN1339', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 9, 'num_measurements': 3, 'file': 'riv_sites_det_23_106.geojson', 'mean_measurements': 0.012}]",POINT (-2.308145 55.005073),0.012000000000000002
13,NE-SSN0162,MILL STREAM AT RYE HILL - NORTH TYNE,389424,570904,2025,2025,NE,23,HA023G04,HA023G04S0001,3.0,GB103023075802,3103.0,3333.0,EA,-2.167003,55.03255,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0162', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 18, 'num_measurements': 1, 'file': 'riv_sites_det_23_106.geojson', 'mean_measurements': 0.01}]",POINT (-2.167003 55.03255),0.01
14,NE-SSN0189,SHEDDING SIKE AT SHEDDING KNOWE - BELLIN,370016,592652,2025,2025,NE,23,HA023G04,HA023G04S0161,3.0,GB103023075110,3103.0,3334.0,EA,-2.472936,55.227172,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0189', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 19, 'num_measurements': 1, 'file': 'riv_sites_det_23_106.geojson', 'mean_measurements': 0.017}]",POINT (-2.472936 55.227172),0.017
15,NE-SSN0829,SSN0829 MILL BURN,395340,592274,2025,2025,NE,23,HA023G04,HA023G04S0154,3.0,GB103023075140,3103.0,3372.0,EA,-2.074808,55.22467,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0829', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 4, 'num_measurements': 1, 'file': 'riv_sites_det_23_106.geojson', 'mean_measurements': 0.01}]",POINT (-2.074808 55.22467),0.01
16,NE-SSN0866,SSN0866 DARN GILL,377208,537260,2025,2025,NE,23,HA023G01,HA023G01S0006,3.0,GB103023075380,3103.0,3418.0,EA,-2.355443,54.729809,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0866', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_23_106.geojson', 'mean_measurements': 0.021}]",POINT (-2.355443 54.729809),0.021
17,NE-SSN0893,SSN0893 BROOMLEY BURN,371726,584894,2025,2025,NE,23,HA023G04,HA023G04S0094,3.0,GB103023074940,3103.0,3334.0,EA,-2.445276,55.157564,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0893', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_23_106.geojson', 'mean_measurements': 0.019}]",POINT (-2.445276 55.157564),0.019
18,NE-SSN0930,SSN0930 TRIB OF DEVILS WATER,395700,562497,2025,2025,NE,23,HA023G03,HA023G03S0023,3.0,GB103023075631,3103.0,3480.0,EA,-2.068687,54.9571,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0930', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 7, 'num_measurements': 1, 'file': 'riv_sites_det_23_106.geojson', 'mean_measurements': 0.081}]",POINT (-2.068687 54.9571),0.081
19,NE-SSN1341,BELL KNOWNE CONF. REDE,388368,585329,2025,2025,NE,23,HA023G04,HA023G04S0089,3.0,GB103023075320,3103.0,3372.0,EA,-2.184119,55.162148,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN1341', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 21, 'num_measurements': 1, 'file': 'riv_sites_det_23_106.geojson', 'mean_measurements': 0.29}]",POINT (-2.184119 55.162148),0.29
20,NE-SSN1378,THORNHOPE BURN AT HIGH THORNHOPE,368014,550067,2025,2025,NE,23,HA023G01,HA023G01S0041,3.0,GB103023075531,3103.0,3418.0,EA,-2.499621,54.844391,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN1378', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 17, 'num_measurements': 1, 'file': 'riv_sites_det_23_106.geojson', 'mean_measurements': 0.01}]",POINT (-2.499621 54.844391),0.01
21,NE-SSN0802,SSN0802 PARK BURN,392271,538442,2025,2025,NE,24,HA024G01,HA024G01S0087,3.0,GB103024077461,3110.0,3523.0,EA,-2.121578,54.740892,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0802', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_24_106.geojson', 'mean_measurements': 0.01}]",POINT (-2.121578 54.740892),0.01
22,NE-RSN1312,RSN1312 ELLER BECK AT A172,452198,507767,2025,2025,NE,25,HA025G02,HA025G02S0017,3.0,GB103025071870,3093.0,3252.0,EA,-1.19627,54.462619,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-RSN1312', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 2, 'num_measurements': 1, 'file': 'riv_sites_det_25_106.geojson', 'mean_measurements': 0.013}]",POINT (-1.19627 54.462619),0.013999999999999999
23,NE-SSN0013,ASH GILL AT KIRKLEATHAM WALLED GARDEN,459506,521726,2025,2025,NE,25,HA025G03,HA025G03S0026,3.0,GB103025072320,3093.0,3445.0,EA,-1.080734,54.587249,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0013', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 27, 'num_measurements': 1, 'file': 'riv_sites_det_25_106.geojson', 'mean_measurements': 0.01}]",POINT (-1.080734 54.587249),0.01
24,NE-SSN0185,MOUSEY BURN AT BLACK HURWORTH FARM - SKE,441233,534539,2025,2025,NE,25,HA025G01,HA025G01S0081,3.0,GB103025076070,3093.0,3406.0,EA,-1.361665,54.704202,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0185', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 18, 'num_measurements': 1, 'file': 'riv_sites_det_25_106.geojson', 'mean_measurements': 0.01}]",POINT (-1.361665 54.704202),0.01
25,NE-SSN0306,SSN0306 SLEIGHTHOLME,393940,508961,2025,2025,NE,25,HA025G01,HA025G01S0037,3.0,GB103025072090,3093.0,3447.0,EA,-2.095033,54.475979,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0306', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 3, 'num_measurements': 1, 'file': 'riv_sites_det_25_106.geojson', 'mean_measurements': 0.041}]",POINT (-2.095033 54.475979),0.041
26,NE-SSN0825,SSN0825 BOLAM,420434,522246,2025,2025,NE,25,HA025G01,HA025G01S0059,3.0,GB103025072260,3093.0,3406.0,EA,-1.685272,54.594999,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0825', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 4, 'num_measurements': 1, 'file': 'riv_sites_det_25_106.geojson', 'mean_measurements': 0.015}]",POINT (-1.685272 54.594999),0.015
27,NE-SSN0889,SSN0889 HOWE GILL,402982,522311,2025,2025,NE,25,HA025G01,HA025G01S0069,3.0,GB103025072310,3093.0,3447.0,EA,-1.955372,54.595982,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0889', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_25_106.geojson', 'mean_measurements': 0.013}]",POINT (-1.955372 54.595982),0.013
28,NE-SSN0946,SSN0946 BLING GILL,385499,521344,2025,2025,NE,25,HA025G05,HA025G05S0054,3.0,GB103025072352,3093.0,3448.0,EA,-2.225905,54.587089,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0946', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_25_106.geojson', 'mean_measurements': 0.017}]",POINT (-2.225905 54.587089),0.017
29,NE-RSN1396,RSN1396 MILL LANE WEST DRAIN US BROUGH,493917,427564,2025,2025,NE,26,HA026G02,HA026G02S0032,4.0,,3039.0,3274.0,EA,-0.577712,53.736037,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-RSN1396', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 6, 'num_measurements': 5, 'file': 'riv_sites_det_26_106.geojson', 'mean_measurements': 0.1102}]",POINT (-0.577712 53.736037),0.14183333333333334
30,NE-SSN0001,SKELFLEET DRAIN AT HOTHAM COMMON,486535,433227,2025,2025,NE,26,HA026G02,HA026G02S0038,4.0,GB104026066690,3039.0,3191.0,EA,-0.688004,53.788198,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0001', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 27, 'num_measurements': 1, 'file': 'riv_sites_det_26_106.geojson', 'mean_measurements': 0.012}]",POINT (-0.6880039999999999 53.788198),0.012
31,NE-SSN0849,SSN0849 KIRBY DRAIN,506058,448460,2025,2025,NE,26,HA026G01,HA026G01S0015,4.0,GB104026067211,3039.0,3274.0,EA,-0.386536,53.921449,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0849', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_26_106.geojson', 'mean_measurements': 0.01}]",POINT (-0.386536 53.921449),0.01
32,NE-49800260,NIDD AT KNARESBOROUGH VIADUCT,434757,457063,2025,2025,NE,27,HA027G12,HA027G12S0004,4.0,GB104027068297,3088.0,3308.0,EA,-1.471162,54.008439,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-49800260', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 6, 'num_measurements': 6, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.0941666666666666}]",POINT (-1.471162 54.008439),0.09499999999999999
33,NE-49800261,EAGLE LEVEL D/S PONDS,415147,465137,2025,2025,NE,27,HA027G12,HA027G12S0017,4.0,GB104027068295,3088.0,3497.0,EA,-1.769973,54.081946,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-49800261', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 2, 'num_measurements': 2, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.19}]",POINT (-1.769973 54.081946),0.1775
34,NE-49905199,SHAW BECK AT HELWITH,407261,502869,2025,2025,NE,27,HA027G19,HA027G19S0069,4.0,GB104027069140,3088.0,3503.0,EA,-1.889613,54.421219,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-49905199', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 3, 'num_measurements': 3, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 1.1666666666666667}]",POINT (-1.889613 54.421219),1.1666666666666667
35,NE-49905245,PRYS BECK,406591,502512,2025,2025,NE,27,HA027G19,HA027G19S0069,4.0,GB104027069140,3088.0,3503.0,EA,-1.899946,54.418019,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-49905245', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 1, 'num_measurements': 1, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 1.2}]",POINT (-1.899946 54.418019),1.2
36,NE-49905246,SHAW BECK BELOW FOOTBRIDGE D/S PRYS BECK,406704,502568,2025,2025,NE,27,HA027G19,HA027G19S0069,4.0,GB104027069140,3088.0,3503.0,EA,-1.898204,54.418521,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-49905246', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 5, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.848}]",POINT (-1.898204 54.418521),0.8300000000000001
37,NE-49905247,HOLGATE BECK U/S SHAW BECK CONFLUENCE,407386,502874,2025,2025,NE,27,HA027G19,HA027G19S0071,4.0,GB104027069140,3088.0,3503.0,EA,-1.887687,54.421262,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-49905247', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 4, 'num_measurements': 4, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.1}]",POINT (-1.887687 54.421262),0.09999999999999999
38,NE-49905248,MARSKE BECK D/S HOLGATE/SHAW BECK CONF,407455,502845,2025,2025,NE,27,HA027G19,HA027G19S0071,4.0,GB104027069140,3088.0,3503.0,EA,-1.886624,54.421,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-49905248', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 5, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.178}]",POINT (-1.886624 54.421),0.1557142857142857
39,NE-49905249,SPRING OPPOSITE HELWITH BANK,408045,502809,2025,2025,NE,27,HA027G19,HA027G19S0071,4.0,GB104027069140,3088.0,3503.0,EA,-1.877533,54.420668,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-49905249', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 3, 'num_measurements': 3, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 1.4666666666666668}]",POINT (-1.877533 54.420668),1.4666666666666668
40,NE-49905250,MARSKE BECK D/S HELWITH BANK SPRING,408081,502820,2025,2025,NE,27,HA027G19,HA027G19S0071,4.0,GB104027069140,3088.0,3503.0,EA,-1.876977,54.420766,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-49905250', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 5, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.404}]",POINT (-1.876977 54.420766),0.33
41,NE-RSN1332,RSN1332 CALDER D/S SPEN BECK,423247,420556,2025,2025,NE,27,HA027G08,HA027G08S0035,4.0,GB104027062631,3001.0,3268.0,EA,-1.649528,53.680967,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-RSN1332', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 2, 'num_measurements': 1, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.035}]",POINT (-1.649528 53.680967),0.02825
42,NE-RSN1336,RSN1336 URE AT FISH POND PLANTATION,416133,486307,2025,2025,NE,27,HA027G05,HA027G05S0096,4.0,GB104027069464,3088.0,3505.0,EA,-1.753777,54.272174,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-RSN1336', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 3, 'num_measurements': 1, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.049}]",POINT (-1.753777 54.272174),0.056999999999999995
43,NE-RSN1340,RSN1340 THORNTON BECK AT ELLER'S WOOD,485340,484452,2025,2025,NE,27,HA027G06,HA027G06S0015,4.0,GB104027067950,3027.0,3489.0,EA,-0.691785,54.248663,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-RSN1340', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 6, 'num_measurements': 5, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.01}]",POINT (-0.691785 54.248663),0.01
44,NE-RSN1348,RSN1348 RIVER DON DS MILLHOUSE GREEN,422777,403201,2025,2025,NE,27,HA027G02,HA027G02S0026,4.0,GB104027057500,3029.0,3490.0,EA,-1.657902,53.525002,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-RSN1348', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 6, 'num_measurements': 5, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.0402}]",POINT (-1.657902 53.525002),0.035833333333333335
45,NE-RSN1356,RSN1356 RIVER DEARNE DS LOW BARUGH,432668,408947,2025,2025,NE,27,HA027G07,HA027G07S0003,4.0,GB104027063171,3029.0,3125.0,EA,-1.508115,53.576128,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-RSN1356', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 6, 'num_measurements': 5, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.0124}]",POINT (-1.508115 53.576128),0.012499999999999999
46,NE-RSN1368,RSN1368 FOSS NEAR HUNTINGTON,461623,456116,2025,2025,NE,27,HA027G11,HA027G11S0015,4.0,GB104027063520,3088.0,3190.0,EA,-1.061474,53.997429,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-RSN1368', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 6, 'num_measurements': 5, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.0142}]",POINT (-1.061474 53.997429),0.016999999999999998
47,NE-SSN0021,WEST HALL BECK NEAR NESFIELD - WEST HALL,408818,450442,2025,2025,NE,27,HA027G10,HA027G10S0039,4.0,GB104027064257,3115.0,3318.0,EA,-1.867132,53.950019,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0021', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 18, 'num_measurements': 1, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.027}]",POINT (-1.867132 53.950019),0.027
48,NE-SSN0037,BLOWELL DRAIN AT SOUTH MOOR - BLOWELL DR,454292,421552,2025,2025,NE,27,HA027G16,HA027G16S0012,4.0,GB104027063390,3029.0,3272.0,EA,-1.17938,53.687627,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0037', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 15, 'num_measurements': 1, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.05}]",POINT (-1.17938 53.687627),0.05
49,NE-SSN0065,SSN0065 BRICK DRAIN TRIB OF RIVER AIRE,462306,425732,2025,2025,NE,27,HA027G03,HA027G03S0001,4.0,GB104027062760,3001.0,3265.0,EA,-1.057208,53.7243,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0065', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 9, 'num_measurements': 1, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.016}]",POINT (-1.057208 53.7243),0.016
50,NE-SSN0069,SSN0069 TOWN BROOK TRIB OF RIVER DON,418625,403046,2025,2025,NE,27,HA027G02,HA027G02S0026,4.0,GB104027057500,3029.0,3490.0,EA,-1.720539,53.523771,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0069', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 5, 'num_measurements': 1, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.024}]",POINT (-1.720539 53.523771),0.024
51,NE-SSN0165,LODGE BECK TRIB OF PARK BECK - PARK BECK,434326,450930,2025,2025,NE,27,HA027G12,HA027G12S0003,4.0,GB104027063700,3088.0,3308.0,EA,-1.478427,53.953348,RIVER / RUNNING SURFACE WATER,"[{'det_id': '0106', 'site_id': 'NE-SSN0165', 'det_label': 'Cd Filtered', 'det_desc': 'Cadmium, Dissolved', 'num_samples': 18, 'num_measurements': 1, 'file': 'riv_sites_det_27_106.geojson', 'mean_measurements': 0.013}]",POINT (-1.478427 53.953348),0.013
